make,model,year_range,price_range_low,price_range_high,category,drivetrain,fuel_type,mpg_city,mpg_highway,mpg_combined,annual_fuel_cost,maintenance_annual,insurance_annual,depreciation_3yr_percent,federal_tax_credit,ca_rebate,manufacturer_incentive,final_price_low,final_price_high,tco_3yr_low,tco_3yr_high,founder_credibility_score,reliability_score,coolness_score,notes
Tesla,Model 3,2024,33000,44000,Premium EV,RWD/AWD,Electric,120,112,116,275,300,400,35,7500,2000,0,23500,34500,17075,23925,5,8,6,"2024 NEW: Latest tech, full warranty - highest price but newest features"
Tesla,Model 3,2023,26000,35000,Premium EV,RWD/AWD,Electric,120,112,116,275,300,400,40,7500,2000,0,16500,25500,10075,16325,5,8,6,"2023 USED: 1-year depreciation hit, still modern tech"
Tesla,Model 3,2022,22000,30000,Premium EV,RWD/AWD,Electric,120,112,116,275,300,400,45,0,0,0,22000,30000,15900,22500,5,8,6,"2022 USED: Pre-refresh design, good value point"
Tesla,Model 3,2021,20000,28000,Premium EV,RWD/AWD,Electric,120,112,116,275,300,400,50,0,0,0,20000,28000,15000,21600,5,8,6,"2021 USED: Older tech but proven reliability"
Tesla,Model 3,2020,18000,25000,Premium EV,RWD/AWD,Electric,120,112,116,275,300,400,55,0,0,0,18000,25000,13600,19500,5,8,5,"2020 USED: First refresh year, good entry point"
BMW,330e,2022,25000,30000,Luxury PHEV,RWD/AWD,PHEV,75,85,80,400,800,350,35,0,0,0,25000,30000,18750,23100,8,7,7,"2022: Latest iDrive tech, full warranty remaining"
BMW,330e,2021,23000,28000,Luxury PHEV,RWD/AWD,PHEV,75,85,80,400,800,350,38,0,0,0,23000,28000,17740,22440,8,7,7,"2021: Sweet spot for tech vs price"
BMW,330e,2020,21000,26000,Luxury PHEV,RWD/AWD,PHEV,75,85,80,400,800,350,42,0,0,0,21000,26000,16820,21720,8,7,7,"2020: First year refresh, proven platform"
Toyota,RAV4 Hybrid,2023,32000,38000,Hybrid SUV,AWD,Hybrid,41,38,40,800,400,200,12,0,0,0,32000,38000,23360,26560,6,9,6,"2023: Latest generation, minimal depreciation"
Toyota,RAV4 Hybrid,2022,30000,35000,Hybrid SUV,AWD,Hybrid,41,38,40,800,400,200,15,0,0,0,30000,35000,22500,26250,6,9,6,"2022: Proven year, good availability"
